neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Chinatown,40.713,-73.99752,Private room,3,172,1.84,2,64,95
Manhattan,Morningside Heights,40.81488,-73.95886,Entire home/apt,7,0,0.0,1,0,110
Manhattan,Upper West Side,40.780120000000004,-73.98279000000001,Private room,1,37,5.39,4,59,129
Brooklyn,Bedford-Stuyvesant,40.68157,-73.92023,Private room,1,0,0.0,1,0,75
Manhattan,Nolita,40.72203,-73.99564000000001,Entire home/apt,2,4,0.21,1,0,325
Brooklyn,Downtown Brooklyn,40.6973,-73.98359,Private room,30,1,0.1,1,0,70
Brooklyn,Clinton Hill,40.68783,-73.96061,Shared room,1,3,3.0,6,350,40
Queens,Ditmars Steinway,40.77138,-73.90895,Private room,1,115,1.82,5,30,55
Brooklyn,Williamsburg,40.71543,-73.95421,Entire home/apt,2,4,0.5,1,0,70
Manhattan,Upper East Side,40.76651,-73.95155,Entire home/apt,2,33,2.55,1,267,145
Brooklyn,Clinton Hill,40.68378,-73.96483,Entire home/apt,2,8,0.15,1,0,175
Manhattan,Midtown,40.747409999999995,-73.98732,Entire home/apt,3,16,2.44,1,321,227
Brooklyn,Bushwick,40.70312,-73.91933,Private room,7,0,0.0,1,0,45
Queens,Ridgewood,40.70476,-73.91111,Private room,1,3,0.29,1,0,75
Brooklyn,Kensington,40.64354,-73.97967,Private room,1,0,0.0,1,0,110
Brooklyn,Bedford-Stuyvesant,40.685790000000004,-73.95038000000001,Private room,30,1,0.27,8,217,60
Brooklyn,Williamsburg,40.70987,-73.94756,Entire home/apt,2,35,1.56,1,170,210
Manhattan,Upper East Side,40.76312,-73.96624,Private room,1,148,3.18,3,351,89
Manhattan,Nolita,40.72118,-73.99682,Private room,2,9,0.29,1,332,115
Brooklyn,Fort Greene,40.68504,-73.9696,Entire home/apt,7,43,1.2,1,53,150
Queens,Elmhurst,40.74475,-73.88266,Entire home/apt,2,8,0.43,1,0,90
Manhattan,East Village,40.72814,-73.98295999999999,Entire home/apt,3,35,2.82,1,0,131
Brooklyn,Prospect-Lefferts Gardens,40.65627,-73.95936,Private room,3,50,0.92,3,98,50
Manhattan,Greenwich Village,40.73008,-74.0005,Entire home/apt,1,0,0.0,1,0,500
Brooklyn,Sheepshead Bay,40.59225,-73.95026,Private room,1,8,0.26,1,311,75
Brooklyn,Bedford-Stuyvesant,40.69044,-73.95893000000001,Entire home/apt,4,0,0.0,1,36,115
Manhattan,Upper West Side,40.79285,-73.967,Entire home/apt,30,7,0.18,96,280,175
Manhattan,East Harlem,40.79852,-73.93769,Private room,1,31,4.63,1,0,79
Brooklyn,Sheepshead Bay,40.59085,-73.95405,Private room,1,2,0.2,1,0,70
Manhattan,East Village,40.7229,-73.98313,Private room,5,0,0.0,2,0,60
Manhattan,Upper East Side,40.761790000000005,-73.96427,Entire home/apt,1,1,1.0,1,331,210
Brooklyn,Carroll Gardens,40.683840000000004,-73.99813,Entire home/apt,2,129,3.92,2,206,175
Manhattan,Harlem,40.82257,-73.94665,Private room,16,0,0.0,1,0,50
Brooklyn,Crown Heights,40.67653,-73.95793,Private room,1,13,0.51,1,0,75
Brooklyn,Bushwick,40.69874,-73.92969000000001,Entire home/apt,2,0,0.0,1,365,150
Manhattan,Harlem,40.82932,-73.94575,Entire home/apt,3,2,0.12,2,0,100
Brooklyn,Williamsburg,40.707359999999994,-73.95571,Private room,1,39,2.03,1,2,70
Brooklyn,Crown Heights,40.6708,-73.94011,Entire home/apt,1,52,4.07,4,110,159
Brooklyn,Columbia St,40.68636,-74.00345,Entire home/apt,2,106,1.22,1,34,159
Queens,Laurelton,40.6688,-73.74384,Entire home/apt,3,2,1.46,1,24,254
Manhattan,East Village,40.72435,-73.98394,Private room,3,6,0.3,1,0,73
Manhattan,Upper East Side,40.77301,-73.95045,Entire home/apt,30,1,0.13,87,347,169
Manhattan,East Harlem,40.78784,-73.94931,Entire home/apt,1,4,0.18,1,0,130
Brooklyn,Williamsburg,40.71969,-73.9583,Entire home/apt,1,0,0.0,1,0,500
Brooklyn,Fort Greene,40.690259999999995,-73.97074,Private room,1,4,3.08,1,336,50
Queens,Long Island City,40.75651,-73.93441,Entire home/apt,3,31,3.32,1,238,170
Queens,Flushing,40.754740000000005,-73.82166,Private room,1,0,0.0,1,0,44
Manhattan,Midtown,40.75182,-73.97354,Entire home/apt,3,0,0.0,1,0,400
Manhattan,Hell's Kitchen,40.76428,-73.99381,Entire home/apt,2,77,3.63,1,9,130
Brooklyn,Bushwick,40.69942,-73.91209,Private room,4,18,0.3,1,0,65
Queens,Flushing,40.74548,-73.8341,Private room,1,10,1.59,6,163,80
Manhattan,West Village,40.73272,-74.00623,Entire home/apt,5,4,0.3,1,0,165
Queens,Ditmars Steinway,40.77803,-73.91084000000001,Private room,1,77,3.66,1,145,50
Brooklyn,Williamsburg,40.711240000000004,-73.94861,Private room,7,14,0.39,2,0,57
Bronx,Longwood,40.8179,-73.91456,Private room,6,0,0.0,1,365,100
Queens,Queens Village,40.707229999999996,-73.72948000000001,Private room,1,16,0.71,1,342,75
Brooklyn,Bedford-Stuyvesant,40.69494,-73.95506999999999,Private room,1,0,0.0,1,0,70
Queens,Long Island City,40.75508,-73.93258,Entire home/apt,2,0,0.0,1,364,350
Manhattan,Lower East Side,40.72205,-73.9913,Private room,1,3,0.17,3,0,118
Queens,Long Island City,40.74923,-73.95031,Private room,2,21,1.49,1,128,125
Manhattan,Upper East Side,40.78494,-73.94988000000001,Entire home/apt,2,8,0.48,1,209,225
Manhattan,Hell's Kitchen,40.75747,-73.99039,Private room,3,17,0.73,1,65,174
Manhattan,Harlem,40.81223,-73.95284000000001,Entire home/apt,1,16,2.0,2,300,298
Queens,Flushing,40.75522,-73.83451,Private room,1,19,1.84,3,0,55
Brooklyn,Greenpoint,40.7257,-73.95606,Private room,1,2,0.11,1,0,100
Brooklyn,Bushwick,40.70518,-73.92165,Private room,1,52,1.7,3,179,65
Brooklyn,Williamsburg,40.7091,-73.96032,Private room,1,47,2.47,1,155,99
Manhattan,Harlem,40.82608,-73.94230999999999,Entire home/apt,2,12,1.38,1,6,99
Manhattan,Hell's Kitchen,40.76368,-73.98881,Entire home/apt,2,6,3.46,1,335,239
Brooklyn,Flatbush,40.6548,-73.95388,Private room,2,32,0.68,1,82,40
Manhattan,East Village,40.72647,-73.98379,Private room,1,2,0.04,2,0,95
Brooklyn,Bedford-Stuyvesant,40.68805,-73.95954,Private room,3,1,1.0,2,365,125
Brooklyn,Bedford-Stuyvesant,40.69567,-73.93431,Private room,1,1,1.0,2,362,45
Queens,Flushing,40.772529999999996,-73.82467,Private room,2,14,0.81,7,57,140
Brooklyn,Prospect-Lefferts Gardens,40.66316,-73.95326,Private room,2,61,3.26,3,265,75
Manhattan,East Village,40.72436,-73.98235,Entire home/apt,2,9,0.8,1,0,199
Manhattan,Harlem,40.81073,-73.9437,Private room,7,67,0.87,1,0,70
Brooklyn,Williamsburg,40.72034,-73.95626,Entire home/apt,3,2,0.4,1,2,100
Manhattan,Chelsea,40.738929999999996,-73.99464,Entire home/apt,2,12,0.19,1,0,350
Manhattan,Midtown,40.75568,-73.96798000000001,Entire home/apt,6,8,0.35,1,15,79
Brooklyn,Bushwick,40.7032,-73.92703,Private room,2,8,0.43,1,0,45
Brooklyn,Canarsie,40.64942,-73.89783,Private room,4,4,0.22,4,37,40
Queens,Jackson Heights,40.75135,-73.88378,Private room,4,14,3.72,4,50,85
Brooklyn,Boerum Hill,40.68658,-73.9891,Entire home/apt,2,17,0.36,1,0,180
Manhattan,Washington Heights,40.84118,-73.93697,Private room,2,1,0.05,1,0,70
Manhattan,East Village,40.72614,-73.98795,Entire home/apt,4,0,0.0,1,0,200
Brooklyn,Sunset Park,40.664229999999996,-73.99565,Entire home/apt,5,6,0.11,1,0,119
Brooklyn,Bedford-Stuyvesant,40.69615,-73.9474,Private room,1,4,1.2,2,0,56
Manhattan,Financial District,40.70562,-74.00712,Entire home/apt,3,5,3.26,1,212,320
Manhattan,Upper West Side,40.79572,-73.96781,Entire home/apt,7,1,0.05,1,0,105
Manhattan,West Village,40.73982,-74.00806999999999,Entire home/apt,1,10,0.25,1,0,228
Brooklyn,Bedford-Stuyvesant,40.684090000000005,-73.95402,Entire home/apt,3,122,1.93,1,41,85
Queens,Astoria,40.76677,-73.91169000000001,Shared room,5,0,0.0,3,83,55
Brooklyn,Park Slope,40.68015,-73.97800000000001,Private room,2,25,0.36,6,89,115
Manhattan,Upper West Side,40.796820000000004,-73.96282,Private room,1,26,6.19,3,37,67
Manhattan,SoHo,40.7204,-74.00027,Private room,3,1,0.34,3,86,64
Bronx,Fieldston,40.887570000000004,-73.90522,Entire home/apt,1,25,0.67,1,311,60
Manhattan,Upper West Side,40.79401,-73.96432,Private room,1,0,0.0,1,0,80
Manhattan,Tribeca,40.717259999999996,-74.01134,Entire home/apt,7,16,0.34,1,0,200
Brooklyn,East New York,40.66977,-73.89356,Private room,7,8,2.05,13,198,40
Manhattan,Midtown,40.76015,-73.96378,Entire home/apt,5,25,0.51,1,0,247
Queens,Jamaica,40.699329999999996,-73.81436,Private room,2,49,2.37,4,108,50
Brooklyn,Bushwick,40.704679999999996,-73.91935,Private room,30,0,0.0,43,257,47
Manhattan,East Village,40.72916,-73.98228,Entire home/apt,30,0,0.0,1,90,250
Queens,Woodside,40.742670000000004,-73.8996,Entire home/apt,4,42,3.09,1,285,255
Brooklyn,Park Slope,40.67171,-73.98079,Private room,7,58,0.83,2,333,65
Brooklyn,Flatlands,40.62598,-73.92509,Entire home/apt,3,2,0.05,1,161,125
Queens,Flushing,40.75558,-73.83343,Private room,1,73,2.3,1,343,96
Manhattan,Harlem,40.82377,-73.94565,Entire home/apt,1,0,0.0,1,0,110
Brooklyn,Greenpoint,40.727540000000005,-73.95674,Private room,1,24,1.77,7,32,105
Manhattan,SoHo,40.72541,-74.01015,Private room,3,30,0.48,2,4,150
